City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Busselton,-33.65,115.3333,54.09,72,1,17.81,clear sky
1,Agadez,19.75,10.25,91.72,8,63,4.74,broken clouds
2,Albany,42.6001,-73.9662,41.59,92,1,0.94,clear sky
3,Ushuaia,-54.8,-68.3,40.66,93,75,14.97,light intensity drizzle
4,Yellowknife,62.456,-114.3525,29.41,95,90,8.05,light snow
5,Mataura,-46.1927,168.8643,51.48,99,22,2.08,few clouds
6,Klaksvik,62.2266,-6.589,43.72,74,95,10.58,overcast clouds
7,Upernavik,72.7868,-56.1549,7.23,83,33,6.87,scattered clouds
8,Grand Gaube,-20.0064,57.6608,79.38,69,1,11.01,clear sky
9,Deputatskiy,69.3,139.9,-19.95,89,9,5.03,clear sky
10,Hambantota,6.1241,81.1185,79.48,81,100,15.68,light rain
11,Lebu,-37.6167,-73.65,55.15,72,1,12.8,clear sky
12,Glenwood Springs,39.5505,-107.3248,47.43,55,1,19.57,clear sky
13,Itarema,-2.9248,-39.9167,88.38,56,53,13.44,broken clouds
14,Saint George,37.1041,-113.5841,62.33,48,1,0.0,clear sky
15,Itoman,26.1247,127.6694,77.02,65,75,8.05,broken clouds
16,Vertientes,21.2594,-78.1464,74.01,92,100,6.33,overcast clouds
17,Katsuura,35.1333,140.3,63.1,72,100,14.9,overcast clouds
18,Avarua,-21.2078,-159.775,73.45,64,90,9.22,overcast clouds
19,Comodoro Rivadavia,-45.8667,-67.5,69.66,30,0,19.57,clear sky
20,Hermanus,-34.4187,19.2345,70.9,62,100,12.5,overcast clouds
21,Cape Town,-33.9258,18.4232,67.87,57,20,4.0,few clouds
22,Evensk,61.95,159.2333,20.77,95,64,7.2,broken clouds
23,Harrison,30.4091,-89.0436,44.06,96,1,0.0,clear sky
24,Esperance,-33.8667,121.9,55.13,72,12,10.0,few clouds
25,Tukrah,32.5341,20.5791,77.27,42,70,6.55,broken clouds
26,Punta Arenas,-53.15,-70.9167,50.11,71,75,11.5,broken clouds
27,Arlit,18.7369,7.3853,96.19,7,98,3.83,overcast clouds
28,Madison,34.7334,-86.5667,42.66,90,1,1.01,clear sky
29,Khatanga,71.9667,102.5,9.36,95,100,8.9,light snow
30,Kapaa,22.0752,-159.319,75.52,81,20,12.66,light rain
31,Coihaique,-45.5752,-72.0662,57.81,54,75,8.05,broken clouds
32,Carnarvon,-24.8667,113.6333,66.27,72,40,20.71,scattered clouds
33,Barrow,71.2906,-156.7887,10.42,85,1,8.05,mist
34,Mount Gambier,-37.8333,140.7667,42.87,80,0,1.92,clear sky
35,Aripuana,-9.1667,-60.6333,77.68,83,99,0.27,overcast clouds
36,Ahipara,-35.1667,173.1667,58.91,94,27,2.71,scattered clouds
37,Port Alfred,-33.5906,26.891,64.76,83,100,12.35,overcast clouds
38,Khargapur,24.823,79.144,73.98,33,100,1.19,overcast clouds
39,Gorontalo,0.5412,123.0595,77.09,95,25,2.93,scattered clouds
40,Chuy,-33.6971,-53.4616,64.54,58,99,7.2,overcast clouds
41,Ust-Nera,64.5667,143.2,-4.13,98,100,3.62,light snow
42,Birao,10.2849,22.7882,98.38,16,4,5.97,clear sky
43,Narsaq,60.9167,-46.05,32.22,66,100,10.16,overcast clouds
44,Victoria,22.2855,114.1577,80.65,83,6,1.01,clear sky
45,Sao Filipe,14.8961,-24.4956,79.45,69,100,5.91,overcast clouds
46,Nikolskoye,59.7035,30.7861,41.88,89,100,5.26,light rain
47,Klichka,50.4457,117.996,19.02,47,10,3.2,clear sky
48,Amberley,39.2048,-84.428,40.08,93,90,0.0,fog
49,Bengkulu,-3.8004,102.2655,78.96,85,100,8.86,overcast clouds
50,Grindavik,63.8424,-22.4338,32.47,80,0,6.91,clear sky
51,Butaritari,3.0707,172.7902,81.28,70,77,13.85,broken clouds
52,Rikitea,-23.1203,-134.9692,75.38,82,79,15.37,light rain
53,Bredasdorp,-34.5322,20.0403,64.27,51,100,11.61,overcast clouds
54,Kaitangata,-46.2817,169.8464,51.22,96,73,0.83,broken clouds
55,Castro,-24.7911,-50.0119,67.93,80,90,4.85,overcast clouds
56,Cayenne,4.9333,-52.3333,86.04,80,75,5.99,broken clouds
57,Tomatlan,19.9333,-105.25,69.94,88,100,2.55,overcast clouds
58,Flinders,-34.5833,150.8552,67.17,88,100,1.01,light rain
59,Minab,27.1467,57.0801,81.9,47,0,9.66,clear sky
60,Hami,42.8,93.45,27.79,42,0,5.01,clear sky
61,Kisangani,0.5167,25.2,79.47,86,100,4.29,moderate rain
62,Novikovo,51.1537,37.8879,49.15,66,68,7.87,broken clouds
63,Pevek,69.7008,170.3133,3.47,90,96,5.77,overcast clouds
64,Atuona,-9.8,-139.0333,77.65,69,13,13.96,few clouds
65,Rio Grande,-32.035,-52.0986,69.91,61,88,7.74,overcast clouds
66,Lata,40.1629,-8.3327,67.5,44,8,6.15,clear sky
67,Xichang,27.8964,102.2634,46.98,80,92,5.28,overcast clouds
68,Chulym,55.0997,80.9572,31.73,69,98,17.54,overcast clouds
69,Saskylakh,71.9167,114.0833,4.44,87,100,13.29,overcast clouds
70,Banjarmasin,-3.3244,114.591,77.14,92,100,1.28,light rain
71,Kumo,10.0447,11.2122,94.77,20,100,5.48,overcast clouds
72,Saldanha,-33.0117,17.9442,62.65,63,100,19.28,overcast clouds
73,Leningradskiy,69.3833,178.4167,8.33,80,92,3.89,overcast clouds
74,Jacareacanga,-6.2222,-57.7528,74.25,95,100,0.25,overcast clouds
75,Provideniya,64.3833,-173.3,15.51,91,94,7.45,overcast clouds
76,Boundiali,9.5217,-6.4869,94.77,39,9,0.2,clear sky
77,Morehead,37.2711,-87.1764,36.3,100,1,0.0,clear sky
78,Pangobilian,8.8011,117.8594,81.23,84,42,5.14,scattered clouds
79,Ust-Tsilma,65.441,52.1498,30.13,97,100,6.93,light snow
80,Jalalabad,34.4265,70.4515,68.54,24,41,1.1,scattered clouds
81,Puttur,12.7667,75.2167,82.51,95,100,1.57,overcast clouds
82,Fortuna,40.5982,-124.1573,44.47,68,90,8.01,overcast clouds
83,Hobart,-42.8794,147.3294,55.26,71,90,9.22,overcast clouds
84,Krasnyy Chikoy,50.3643,108.7512,14.85,70,62,3.27,broken clouds
85,Hithadhoo,-0.6,73.0833,83.07,70,15,13.62,moderate rain
86,Batemans Bay,-35.7167,150.1833,66.2,95,100,2.98,light rain
87,Bluff,-46.6,168.3333,51.8,91,23,4.85,few clouds
88,Puerto Ayora,-0.7393,-90.3518,69.1,78,66,10.49,broken clouds
89,Kahului,20.8947,-156.47,76.84,81,1,13.8,clear sky
90,Rabo De Peixe,37.8,-25.5833,71.11,64,20,17.27,few clouds
91,Portland,45.5234,-122.6762,44.64,90,20,4.0,few clouds
92,Hilo,19.7297,-155.09,71.8,90,40,5.75,scattered clouds
93,Bima,-8.4667,118.7167,81.28,86,36,1.77,scattered clouds
94,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,100,90,0.0,shower snow
95,Qaanaaq,77.484,-69.3632,4.53,68,7,7.36,clear sky
96,Guerrero Negro,27.9769,-114.0611,63.41,90,100,5.61,overcast clouds
97,Saint Anthony,45.0205,-93.218,49.84,88,1,3.0,clear sky
98,Makakilo City,21.3469,-158.0858,77.32,70,75,3.44,broken clouds
99,Longyearbyen,78.2186,15.6401,15.64,57,40,12.66,scattered clouds
100,Pisco,-13.7,-76.2167,65.01,88,40,2.3,mist
101,Kulhudhuffushi,6.6221,73.07,81.82,77,100,17.0,light rain
102,Vaini,-21.2,-175.2,77.16,94,75,8.05,broken clouds
103,Vardo,70.3705,31.1107,31.53,67,92,16.35,light snow
104,Port Hawkesbury,45.6169,-61.3485,48.69,70,1,5.99,clear sky
105,Beausejour,50.0622,-96.5167,39.78,64,100,5.06,overcast clouds
106,High Level,58.5169,-117.136,24.91,100,90,3.44,overcast clouds
107,Hasaki,35.7333,140.8333,59.4,67,90,15.5,overcast clouds
108,Mahebourg,-20.4081,57.7,79.25,73,75,10.36,broken clouds
109,Santiago Del Estero,-27.7951,-64.2615,64.72,65,98,2.62,overcast clouds
110,Luderitz,-26.6481,15.1594,68.41,56,56,27.72,broken clouds
111,San Antonio,29.4241,-98.4936,53.28,90,1,0.0,mist
112,Tasiilaq,65.6145,-37.6368,28.56,73,91,9.19,overcast clouds
113,Plettenberg Bay,-34.0527,23.3716,60.69,76,100,3.71,overcast clouds
114,Port Hardy,50.6996,-127.4199,42.8,93,90,2.3,light intensity shower rain
115,Souillac,-20.5167,57.5167,79.36,73,75,10.36,broken clouds
116,Taoudenni,22.6783,-3.9836,87.94,15,0,9.55,clear sky
117,East London,-33.0153,27.9116,65.34,88,75,14.97,light rain
118,Newtownards,54.5924,-5.6909,53.28,66,75,5.01,broken clouds
119,Majene,-3.5403,118.9707,79.29,82,100,4.45,overcast clouds
120,Puli,23.9664,120.9695,73.87,81,81,4.12,broken clouds
121,New Norfolk,-42.7826,147.0587,54.9,64,50,1.05,scattered clouds
122,Thinadhoo,0.5333,72.9333,83.41,70,59,14.74,broken clouds
123,Kodiak,57.79,-152.4072,29.73,68,100,8.66,overcast clouds
124,Gamba,-2.65,10.0,81.75,76,100,8.21,light rain
125,Jalu,29.0331,21.5482,82.09,25,0,6.55,clear sky
126,Maniitsoq,65.4167,-52.9,25.38,60,7,7.92,clear sky
127,Saint-Philippe,-21.3585,55.7679,81.95,82,54,10.09,light rain
128,Bambous Virieux,-20.3428,57.7575,79.21,73,75,10.36,broken clouds
129,Tiksi,71.6872,128.8694,3.87,84,100,16.55,overcast clouds
130,Kavieng,-2.5744,150.7967,82.54,80,7,14.97,light rain
131,Maribo,54.7766,11.5002,50.95,77,12,20.36,few clouds
132,Jumla,29.2747,82.1838,44.58,74,0,3.24,clear sky
133,Felanitx,39.4696,3.1483,64.96,64,81,23.91,broken clouds
134,Lavrentiya,65.5833,-171.0,11.32,92,100,6.29,overcast clouds
135,Bethanien,-26.502,17.1583,86.54,7,100,21.88,overcast clouds
136,Katobu,-4.9408,122.5276,77.45,91,35,4.05,scattered clouds
137,Stamford,41.0534,-73.5387,50.99,83,1,5.99,clear sky
138,Berlevag,70.8578,29.0864,30.09,78,100,14.34,light snow
139,Christchurch,-43.5333,172.6333,56.03,84,90,7.0,overcast clouds
140,Smithers,54.7804,-127.1743,28.72,93,90,5.75,overcast clouds
141,Muncar,-8.4333,114.3333,80.1,85,96,0.38,overcast clouds
142,Meulaboh,4.1363,96.1285,76.98,92,100,8.03,overcast clouds
143,Tall Kayf,37.0833,41.0667,77.34,22,2,3.04,clear sky
144,Vao,-22.6667,167.4833,70.57,61,0,6.31,clear sky
145,Nacajuca,18.1333,-93.0167,70.02,81,100,3.71,overcast clouds
146,Arraial Do Cabo,-22.9661,-42.0278,76.96,64,0,8.05,clear sky
147,Yanam,16.7333,82.2167,82.8,75,99,6.11,light rain
148,Nouadhibou,20.931,-17.0347,76.98,44,0,16.11,clear sky
149,Abonnema,4.7084,6.7931,84.45,70,100,7.61,light rain
150,Sumenep,-7.0167,113.8667,84.58,68,88,5.64,overcast clouds
151,New Glasgow,45.5834,-62.6486,46.92,75,0,8.88,clear sky
