,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
1,Agadez,19.75,10.25,91.72,8,63,4.74,broken clouds,
8,Grand Gaube,-20.0064,57.6608,79.38,69,1,11.01,clear sky,Veranda Paul et Virginie Hotel & Spa
10,Hambantota,6.1241,81.1185,79.48,81,100,15.68,light rain,Bungalow 63
13,Itarema,-2.9248,-39.9167,88.38,56,53,13.44,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
15,Itoman,26.1247,127.6694,77.02,65,75,8.05,broken clouds,Southern Beach Hotel & Resort Okinawa
25,Tukrah,32.5341,20.5791,77.27,42,70,6.55,broken clouds,Lagrota restaurant
30,Kapaa,22.0752,-159.319,75.52,81,20,12.66,light rain,Sheraton Kauai Coconut Beach Resort
35,Aripuana,-9.1667,-60.6333,77.68,83,99,0.27,overcast clouds,
39,Gorontalo,0.5412,123.0595,77.09,95,25,2.93,scattered clouds,Maqna Hotel by Prasanthi
44,Victoria,22.2855,114.1577,80.65,83,6,1.01,clear sky,Mini Hotel Central
45,Sao Filipe,14.8961,-24.4956,79.45,69,100,5.91,overcast clouds,Hotel Xaguate
49,Bengkulu,-3.8004,102.2655,78.96,85,100,8.86,overcast clouds,Grage Hotel Bengkulu
51,Butaritari,3.0707,172.7902,81.28,70,77,13.85,broken clouds,Isles Sunset Lodge
52,Rikitea,-23.1203,-134.9692,75.38,82,79,15.37,light rain,People ThankYou
56,Cayenne,4.9333,-52.3333,86.04,80,75,5.99,broken clouds,Hôtel Le Dronmi
59,Minab,27.1467,57.0801,81.9,47,0,9.66,clear sky,Bam campground
61,Kisangani,0.5167,25.2,79.47,86,100,4.29,moderate rain,Grand Ramela Hotel
64,Atuona,-9.8,-139.0333,77.65,69,13,13.96,few clouds,Villa Enata
70,Banjarmasin,-3.3244,114.591,77.14,92,100,1.28,light rain,Swiss-Belhotel Borneo Banjarmasin
71,Kumo,10.0447,11.2122,94.77,20,100,5.48,overcast clouds,Ajegunle Lodge(corpers Lodge)
76,Boundiali,9.5217,-6.4869,94.77,39,9,0.2,clear sky,Hotel Paysan Boundiali
78,Pangobilian,8.8011,117.8594,81.23,84,42,5.14,scattered clouds,Sir Brooke's Resort
81,Puttur,12.7667,75.2167,82.51,95,100,1.57,overcast clouds,Hotel Super Tower
85,Hithadhoo,-0.6,73.0833,83.07,70,15,13.62,moderate rain,Scoop Guest House
89,Kahului,20.8947,-156.47,76.84,81,1,13.8,clear sky,Maui Seaside Hotel
93,Bima,-8.4667,118.7167,81.28,86,36,1.77,scattered clouds,Lambitu Hotel
98,Makakilo City,21.3469,-158.0858,77.32,70,75,3.44,broken clouds,Marriott's Ko Olina Beach Club
101,Kulhudhuffushi,6.6221,73.07,81.82,77,100,17.0,light rain,Haajy Guest House 1
102,Vaini,-21.2,-175.2,77.16,94,75,8.05,broken clouds,Keleti Beach Resort
